2019-05-27 12:51:44.579 [main] INFO  - Loading §anukkit.yml§f ...
2019-05-27 12:51:44.879 [main] INFO  - Loading §aserver properties§f ...
2019-05-27 12:51:44.911 [main] INFO  - Selected English (eng) as the base language
2019-05-27 12:51:44.913 [main] INFO  - Starting Minecraft: BE server version §bv1.11.0§f
2019-05-27 12:51:44.936 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-05-27 12:51:45.137 [main] INFO  - Opening server on 0.0.0.0:19132
2019-05-27 12:51:45.213 [main] INFO  - This server is running Nukkit version §egit-131fb2b§f "§b§f" (API 1.0.8)
2019-05-27 12:51:45.215 [main] INFO  - Nukkit is distributed under the LGPL License
2019-05-27 12:51:48.394 [main] INFO  - Loading recipes...
2019-05-27 12:51:48.985 [main] INFO  - Loaded 1284 recipes.
2019-05-27 12:51:48.993 [main] INFO  - Successfully loaded 0 resource packs
2019-05-27 12:51:49.113 [main] WARN  - Level "badgerset" not found
2019-05-27 12:51:49.268 [main] INFO  - Preparing level "§abadgerset§f"
2019-05-27 12:51:49.463 [main] INFO  - Preparing level "§anether§f"
2019-05-27 12:51:49.527 [RakNet Thread #14] INFO  - Epoll is unavailable. Reverting to NioEventLoop.
2019-05-27 12:51:49.541 [main] INFO  - Starting GS4 status listener
2019-05-27 12:51:49.543 [main] INFO  - Setting query port to 19132
2019-05-27 12:51:49.546 [main] INFO  - Query is running on 0.0.0.0:19132
2019-05-27 12:51:49.548 [main] INFO  - Default game type: Survival Mode
2019-05-27 12:51:49.550 [main] INFO  - Done (5.215s)! For help, type "help" or "?"
2019-05-27 12:52:13.955 [main] INFO  - There are 0/20 players online:
2019-05-27 12:52:13.958 [main] INFO  - 
2019-05-27 12:52:17.254 [main] INFO  - §a---- §fServer status§a ----
2019-05-27 12:52:17.257 [main] INFO  - §6Uptime: §c1§6 days §c1§6 hours §c0§6 minutes §c32§6 seconds
2019-05-27 12:52:17.262 [main] INFO  - §6Current TPS: §a20.0
2019-05-27 12:52:17.265 [main] INFO  - §6Load: §a1.12%
2019-05-27 12:52:17.267 [main] INFO  - §6Network upload: §a0.0 kB/s
2019-05-27 12:52:17.270 [main] INFO  - §6Network download: §a0.0 kB/s
2019-05-27 12:52:17.276 [main] INFO  - §6Thread count: §a11
2019-05-27 12:52:17.279 [main] INFO  - §6Used memory: §a94.46 MB. (9.54%)
2019-05-27 12:52:17.282 [main] INFO  - §6Total memory: §c989.88 MB.
2019-05-27 12:52:17.284 [main] INFO  - §6Maximum VM memory: §c989.88 MB.
2019-05-27 12:52:17.287 [main] INFO  - §6Available processors: §a4
2019-05-27 12:52:17.289 [main] INFO  - §6Players: §a0§a online, §c20§a max.
2019-05-27 12:52:17.293 [main] INFO  - §6World "badgerset": §c0§a chunks, §c0§a entities, §c0§a blockEntities. Time §e0.0ms
2019-05-27 12:52:17.296 [main] INFO  - §6World "nether": §c0§a chunks, §c0§a entities, §c0§a blockEntities. Time §e0.0ms
2019-05-27 12:52:29.453 [main] INFO  - §cUnknown command. Try /help for a list of commands
2019-05-27 12:52:32.306 [main] INFO  - --- Showing help page 1 of 1 (/help <page>) ---
2019-05-27 12:52:32.309 [main] INFO  - §2/ban: §fPrevents the specified player from using this server
2019-05-27 12:52:32.312 [main] INFO  - §2/ban-ip: §fPrevents the specified IP address from using this server
2019-05-27 12:52:32.314 [main] INFO  - §2/banlist: §fView all players banned from this server
2019-05-27 12:52:32.317 [main] INFO  - §2/debugpaste: §f%nukkit.command.debug.description
2019-05-27 12:52:32.319 [main] INFO  - §2/defaultgamemode: §fSet the default gamemode
2019-05-27 12:52:32.322 [main] INFO  - §2/deop: §fTakes the specified player's operator status
2019-05-27 12:52:32.324 [main] INFO  - §2/difficulty: §fSets the game difficulty
2019-05-27 12:52:32.327 [main] INFO  - §2/effect: §fAdds/Removes effects on players
2019-05-27 12:52:32.329 [main] INFO  - §2/enchant: §fAdds enchantments on items
2019-05-27 12:52:32.332 [main] INFO  - §2/gamemode: §fChanges the player to a specific game mode
2019-05-27 12:52:32.334 [main] INFO  - §2/gamerule: §fSets or queries a game rule value.
2019-05-27 12:52:32.336 [main] INFO  - §2/gc: §fFires garbage collection tasks
2019-05-27 12:52:32.339 [main] INFO  - §2/give: §fGives the specified player a certain amount of items
2019-05-27 12:52:32.341 [main] INFO  - §2/help: §fShows the help menu
2019-05-27 12:52:32.343 [main] INFO  - §2/kick: §fRemoves the specified player from the server
2019-05-27 12:52:32.346 [main] INFO  - §2/kill: §fCommit suicide or kill other players
2019-05-27 12:52:32.348 [main] INFO  - §2/list: §fLists all online players
2019-05-27 12:52:32.350 [main] INFO  - §2/me: §fPerforms the specified action in chat
2019-05-27 12:52:32.353 [main] INFO  - §2/op: §fGives the specified player operator status
2019-05-27 12:52:32.356 [main] INFO  - §2/pardon: §fAllows the specified player to use this server
2019-05-27 12:52:32.358 [main] INFO  - §2/pardon-ip: §fAllows the specified IP address to use this server
